job_posting_text,rule_bias_score,bias_risk,detected_masculine_terms,detected_exclusionary_terms,detected_inclusive_terms
Titre : Analyste de données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à communiquer clairement. Présence obligatoire soir et weekend. Nous valorisons les candidatures de tous horizons.,1,faible,,présence obligatoire soir et weekend,candidatures de tous horizons
Titre : Chargée ou chargé de produit. Nous recrutons une personne pour rejoindre notre équipe. Capacité à résoudre des problèmes avec rigueur. Culture très masculine et compétitive. Nous encourageons les femmes à postuler.,1,faible,,culture très masculine,nous encourageons les femmes à postuler
Titre : Développeuse ou développeur logiciel. Notre organisation cherche une candidate ou un candidat motivé. Capacité à résoudre des problèmes avec rigueur. Capacité à résoudre des problèmes avec rigueur. Nous encourageons les femmes à postuler. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,,"horaire flexible, nous encourageons les femmes à postuler"
Titre : Chargée ou chargé de produit. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à communiquer clairement. Connaissance des outils numériques modernes. Un horaire flexible est possible selon les besoins de l'équipe. Notre environnement inclusif soutient la diversité.,0,faible,,,"environnement inclusif, horaire flexible, équipe diversifiée"
Titre : Analyste de données. Nous voulons un guerrier capable de dominer le marché. Culture très masculine et compétitive. Heures illimitées attendues. La personne devra être très compétitive et disponible en tout temps.,11,élevé,guerrier,"disponible en tout temps, culture très masculine, heures illimitées",
Titre : Développeuse ou développeur logiciel. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Expérience pertinente en gestion de projet ou domaine similaire. Des accommodements raisonnables sont disponibles. Nous encourageons les femmes à postuler.,0,faible,,,"accommodements raisonnables, nous encourageons les femmes à postuler"
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Connaissance des outils numériques modernes. Un horaire flexible est possible selon les besoins de l'équipe. Nous encourageons les femmes à postuler.,0,faible,,,"horaire flexible, nous encourageons les femmes à postuler"
Titre : Spécialiste cybersécurité. Nous cherchons un rockstar developer agressif et ultra compétitif. Pas de télétravail possible. Heures illimitées attendues. La personne devra être très compétitive et disponible en tout temps.,13,élevé,"agressif, compétitif, rockstar","disponible en tout temps, heures illimitées, pas de télétravail possible",télétravail possible
Titre : Scientifique des données. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Pas de télétravail possible. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,13,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, pas de télétravail possible, présence obligatoire soir et weekend",télétravail possible
Titre : Analyste de données. Notre organisation cherche une candidate ou un candidat motivé. Intérêt pour la collaboration et l'amélioration continue. Doit être jeune diplômé et sans contraintes familiales. Nous valorisons les candidatures de tous horizons.,4,modéré,,"jeune diplômé, sans contraintes familiales",candidatures de tous horizons
Titre : Spécialiste cybersécurité. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Culture très masculine et compétitive. Heures illimitées attendues. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, culture très masculine, heures illimitées",
Titre : Gestionnaire de projet. Notre organisation cherche une candidate ou un candidat motivé. Intérêt pour la collaboration et l'amélioration continue. Expérience pertinente en gestion de projet ou domaine similaire. Un horaire flexible est possible selon les besoins de l'équipe. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,,"horaire flexible, équilibre travail vie personnelle"
